district,STATE/UT,DISTRICT,year,BananasPerCapita
1050003,ANDHRA PRADESH,ADILABAD,2001,16
1050004,ANDHRA PRADESH,ANANTAPUR,2001,7
1050005,ANDHRA PRADESH,CHITTOOR,2001,14
1050006,ANDHRA PRADESH,CUDDAPAH,2001,17
1050007,ANDHRA PRADESH,EAST GODAVARI,2001,12
1050008,ANDHRA PRADESH,GUNTUR,2001,7
1050010,ANDHRA PRADESH,KARIMNAGAR,2001,62
1050011,ANDHRA PRADESH,KHAMMAM,2001,17
1050012,ANDHRA PRADESH,KRISHNA,2001,10
1050013,ANDHRA PRADESH,KURNOOL,2001,13
1050014,ANDHRA PRADESH,MAHABOOBNAGAR,2001,14
1050015,ANDHRA PRADESH,MEDAK,2001,26
1050016,ANDHRA PRADESH,NALGONDA,2001,31
1050017,ANDHRA PRADESH,NELLORE,2001,10
1050018,ANDHRA PRADESH,NIZAMABAD,2001,19
1050019,ANDHRA PRADESH,PRAKASHAM,2001,5
1050020,ANDHRA PRADESH,RANGA REDDY,2001,37
1050021,ANDHRA PRADESH,SRIKAKULAM,2001,6
1050022,ANDHRA PRADESH,VISAKHAPATNAM,2001,0
1050023,ANDHRA PRADESH,VIZIANAGARAM,2001,0
1050024,ANDHRA PRADESH,WARANGAL,2001,52
1050025,ANDHRA PRADESH,WEST GODAVARI,2001,15
1050031,ARUNACHAL PRADESH,DIBANG VALLEY,2001,0
1050036,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2001,0
1050027,ARUNACHAL PRADESH,KAMENG EAST,2001,0
1050039,ARUNACHAL PRADESH,KAMENG WEST,2001,0
1050030,ARUNACHAL PRADESH,LOHIT,2001,0
1050033,ARUNACHAL PRADESH,PAPUM PARE,2001,0
1050028,ARUNACHAL PRADESH,SIANG EAST,2001,0
1050037,ARUNACHAL PRADESH,SIANG UPPER,2001,0
1050040,ARUNACHAL PRADESH,SIANG WEST,2001,0
1050032,ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,0
1050038,ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,0
1050034,ARUNACHAL PRADESH,TAWANG,2001,0
1050041,ASSAM,BARPETA,2001,10
1050042,ASSAM,BONGAIGAON,2001,1
1050043,ASSAM,CACHAR,2001,7
1050044,ASSAM,DARRANG,2001,9
1050046,ASSAM,DHUBRI,2001,5
1050047,ASSAM,DIBRUGARH,2001,3
1050049,ASSAM,GOLAGHAT,2001,0
1050051,ASSAM,JORHAT,2001,2
1050052,ASSAM,KAMRUP,2001,2
1050053,ASSAM,KARBI ANGLONG,2001,4
1050055,ASSAM,KOKRAJHAR,2001,0
1050056,ASSAM,LAKHIMPUR,2001,0
1050057,ASSAM,MORIGAON,2001,0
1050060,ASSAM,N.C.HILLS,2001,0
1050058,ASSAM,NAGAON,2001,1
1050061,ASSAM,SIBSAGAR,2001,0
1050062,ASSAM,SONITPUR,2001,1
1050063,ASSAM,TINSUKIA,2001,2
1050064,BIHAR,ARARIA,2001,11
1050065,BIHAR,AURANGABAD,2001,33
1050066,BIHAR,BANKA,2001,9
1050068,BIHAR,BHABHUA,2001,8
1050069,BIHAR,BHAGALPUR,2001,20
1050072,BIHAR,DARBHANGA,2001,37
1050073,BIHAR,GAYA,2001,26
1050075,BIHAR,JAMUI,2001,16
1050076,BIHAR,JEHANABAD,2001,25
1050077,BIHAR,KATIHAR,2001,6
1050079,BIHAR,KISHANGANJ,2001,4
1050080,BIHAR,LAKHISARAI,2001,6
1050082,BIHAR,MADHUBANI,2001,12
1050083,BIHAR,MUNGER,2001,8
1050084,BIHAR,MUZAFFARPUR,2001,69
1050085,BIHAR,NALANDA,2001,47
1050086,BIHAR,NAWADAH,2001,17
1050090,BIHAR,PURNEA,2001,8
1050091,BIHAR,ROHTAS,2001,36
1050092,BIHAR,SAHARSA,2001,7
1050093,BIHAR,SAMASTIPUR,2001,11
1050094,BIHAR,SARAN,2001,67
1050098,BIHAR,SIWAN,2001,32
1050099,BIHAR,SUPAUL,2001,7
1050100,BIHAR,VAISHALI,2001,59
1050103,CHHATTISGARH,BILASPUR,2001,7
1050104,CHHATTISGARH,DANTEWARA,2001,1
1050105,CHHATTISGARH,DHAMTARI,2001,1
1050106,CHHATTISGARH,DURG,2001,12
1050107,CHHATTISGARH,JANJGIR,2001,9
1050108,CHHATTISGARH,JASHPUR,2001,2
1050109,CHHATTISGARH,KANKER,2001,1
1050111,CHHATTISGARH,KORBA,2001,1
1050112,CHHATTISGARH,KORIYA,2001,3
1050113,CHHATTISGARH,MAHASAMUND,2001,6
1050114,CHHATTISGARH,RAIGARH,2001,2
1050115,CHHATTISGARH,RAIPUR,2001,16
1050116,CHHATTISGARH,RAJNANDGAON,2001,3
1050117,CHHATTISGARH,SARGUJA,2001,1
1050123,GOA,SOUTH GOA,2001,0
1050124,GUJARAT,AHMEDABAD,2001,7
1050146,GUJARAT,AHWA-DANG,2001,0
1050125,GUJARAT,AMRELI,2001,2
1050128,GUJARAT,BHARUCH,2001,0
1050129,GUJARAT,BHAVNAGAR,2001,2
1050130,GUJARAT,DAHOD,2001,0
1050131,GUJARAT,GANDHINAGAR,2001,3
1050132,GUJARAT,JAMNAGAR,2001,2
1050133,GUJARAT,JUNAGADH,2001,11
1050135,GUJARAT,KHEDA NORTH,2001,0
1050134,GUJARAT,KUTCH,2001,2
1050136,GUJARAT,MEHSANA,2001,5
1050137,GUJARAT,NARMADA,2001,0
1050138,GUJARAT,NAVSARI,2001,0
1050140,GUJARAT,PATAN,2001,0
1050141,GUJARAT,PORBANDAR,2001,0
1050142,GUJARAT,RAJKOT,2001,5
1050144,GUJARAT,SURAT,2001,20
1050145,GUJARAT,SURENDRANAGAR,2001,2
1050147,GUJARAT,VADODARA,2001,0
1050148,GUJARAT,VALSAD,2001,0
1050149,HARYANA,AMBALA,2001,11
1050150,HARYANA,BHIWANI,2001,33
1050151,HARYANA,FARIDABAD,2001,19
1050154,HARYANA,HISSAR,2001,24
1050157,HARYANA,KAITHAL,2001,9
1050158,HARYANA,KARNAL,2001,18
1050160,HARYANA,MAHENDRAGARH,2001,8
1050163,HARYANA,REWARI,2001,12
1050164,HARYANA,ROHTAK,2001,17
1050165,HARYANA,SIRSA,2001,12
1050166,HARYANA,SONIPAT,2001,18
1050167,HARYANA,YAMUNANAGAR,2001,9
1050169,HIMACHAL PRADESH,CHAMBA,2001,0
1050171,HIMACHAL PRADESH,KANGRA,2001,1
1050172,HIMACHAL PRADESH,KINNAUR,2001,0
1050173,HIMACHAL PRADESH,KULLU,2001,0
1050174,HIMACHAL PRADESH,LAHAUL-SPITI,2001,0
1050175,HIMACHAL PRADESH,MANDI,2001,0
1050176,HIMACHAL PRADESH,SHIMLA,2001,2
1050177,HIMACHAL PRADESH,SIRMAUR,2001,3
1050178,HIMACHAL PRADESH,SOLAN,2001,2
1050180,JAMMU & KASHMIR,ANANTNAG,2001,0
1050182,JAMMU & KASHMIR,BARAMULLA,2001,0
1050181,JAMMU & KASHMIR,BUDGAM,2001,0
1050183,JAMMU & KASHMIR,DODA,2001,0
1050184,JAMMU & KASHMIR,JAMMU,2001,5
1050185,JAMMU & KASHMIR,KARGIL,2001,0
1050186,JAMMU & KASHMIR,KATHUA,2001,3
1050188,JAMMU & KASHMIR,LEH,2001,0
1050190,JAMMU & KASHMIR,POONCH,2001,0
1050191,JAMMU & KASHMIR,RAJOURI,2001,3
1050192,JAMMU & KASHMIR,SRINAGAR,2001,0
1050193,JAMMU & KASHMIR,UDHAMPUR,2001,2
1050194,JHARKHAND,BOKARO,2001,25
1050195,JHARKHAND,CHATRA,2001,7
1050196,JHARKHAND,DEOGHAR,2001,10
1050197,JHARKHAND,DHANBAD,2001,30
1050198,JHARKHAND,DUMKA,2001,3
1050199,JHARKHAND,GARHWA,2001,15
1050200,JHARKHAND,GIRIDIH,2001,30
1050201,JHARKHAND,GODDA,2001,1
1050202,JHARKHAND,GUMLA,2001,0
1050203,JHARKHAND,HAZARIBAGH,2001,31
1050206,JHARKHAND,LATEHAR,2001,6
1050209,JHARKHAND,PALAMU,2001,18
1050212,JHARKHAND,RANCHI,2001,4
1050213,JHARKHAND,SAHEBGANJ,2001,3
1050214,JHARKHAND,SARAIKELA,2001,4
1050215,JHARKHAND,SIMDEGA,2001,1
1050216,KARNATAKA,BAGALKOT,2001,1
1050217,KARNATAKA,BANGALORE RURAL,2001,30
1050219,KARNATAKA,BELGAUM,2001,4
1050220,KARNATAKA,BELLARY,2001,5
1050221,KARNATAKA,BIDAR,2001,2
1050222,KARNATAKA,BIJAPUR,2001,1
1050223,KARNATAKA,CHAMARAJNAGAR,2001,7
1050224,KARNATAKA,CHICKMAGALUR,2001,4
1050225,KARNATAKA,CHITRADURGA,2001,2
1050226,KARNATAKA,DAKSHIN KANNADA,2001,1
1050227,KARNATAKA,DAVANAGERE,2001,8
1050228,KARNATAKA,DHARWAD,2001,5
1050229,KARNATAKA,GADAG,2001,3
1050230,KARNATAKA,GULBARGA,2001,6
1050231,KARNATAKA,HASSAN,2001,4
1050232,KARNATAKA,HAVERI,2001,5
1050233,KARNATAKA,KODAGU,2001,4
1050234,KARNATAKA,KOLAR,2001,18
1050235,KARNATAKA,KOPPAL,2001,5
1050236,KARNATAKA,MANDYA,2001,7
1050237,KARNATAKA,MYSORE,2001,15
1050238,KARNATAKA,RAICHUR,2001,1
1050239,KARNATAKA,SHIMOGA,2001,6
1050240,KARNATAKA,TUMKUR,2001,28
1050241,KARNATAKA,UDUPI,2001,0
1050242,KARNATAKA,UTTAR KANNADA,2001,3
1050243,KERALA,ALAPUZHA,2001,1
1050245,KERALA,IDUKKI,2001,0
1050246,KERALA,KANNUR,2001,0
1050247,KERALA,KASARGOD,2001,0
1050248,KERALA,KOLLAM,2001,3
1050249,KERALA,KOTTAYAM,2001,2
1050250,KERALA,KOZHIKODE,2001,2
1050251,KERALA,MALAPPURAM,2001,3
1050252,KERALA,PALAKKAD,2001,5
1050253,KERALA,PATHANAMTHITTA,2001,0
1050255,KERALA,THRISSUR,2001,2
1050254,KERALA,TRIVANDRUM,2001,6
1050260,MADHYA PRADESH,BALAGHAT,2001,3
1050261,MADHYA PRADESH,BARWANI,2001,5
1050262,MADHYA PRADESH,BETUL,2001,7
1050263,MADHYA PRADESH,BHIND,2001,34
1050264,MADHYA PRADESH,BHOPAL,2001,15
1050266,MADHYA PRADESH,CHHATARPUR,2001,20
1050267,MADHYA PRADESH,CHHINDWARA,2001,10
1050268,MADHYA PRADESH,DAMOH,2001,28
1050270,MADHYA PRADESH,DEWAS,2001,15
1050271,MADHYA PRADESH,DHAR,2001,41
1050272,MADHYA PRADESH,DINDORI,2001,0
1050274,MADHYA PRADESH,GUNA,2001,7
1050275,MADHYA PRADESH,GWALIOR,2001,20
1050276,MADHYA PRADESH,HARDA,2001,9
1050277,MADHYA PRADESH,HOSHANGABAD,2001,9
1050278,MADHYA PRADESH,INDORE,2001,25
1050279,MADHYA PRADESH,JABALPUR,2001,28
1050280,MADHYA PRADESH,JHABUA,2001,5
1050281,MADHYA PRADESH,KATNI,2001,11
1050282,MADHYA PRADESH,MANDLA,2001,4
1050283,MADHYA PRADESH,MANDSAUR,2001,4
1050284,MADHYA PRADESH,MORENA,2001,29
1050285,MADHYA PRADESH,NARSINGHPUR,2001,22
1050286,MADHYA PRADESH,NEEMUCH,2001,1
1050287,MADHYA PRADESH,PANNA,2001,19
1050288,MADHYA PRADESH,RAISEN,2001,20
1050289,MADHYA PRADESH,RAJGARH,2001,7
1050290,MADHYA PRADESH,RATLAM,2001,4
1050291,MADHYA PRADESH,REWA,2001,18
1050292,MADHYA PRADESH,SAGAR,2001,29
1050293,MADHYA PRADESH,SATNA,2001,19
1050295,MADHYA PRADESH,SEONI,2001,10
1050296,MADHYA PRADESH,SHAHDOL,2001,9
1050297,MADHYA PRADESH,SHAJAPUR,2001,8
1050298,MADHYA PRADESH,SHEOPUR,2001,6
1050299,MADHYA PRADESH,SHIVPURI,2001,14
1050300,MADHYA PRADESH,SIDHI,2001,27
1050294,MADHYA PRADESH,SIHORE,2001,5
1050301,MADHYA PRADESH,TIKAMGARH,2001,15
1050302,MADHYA PRADESH,UJJAIN,2001,7
1050304,MADHYA PRADESH,VIDISHA,2001,13
